timestamp,district,city_hub,discom_zone,panel_name,demand_mw,net_demand_mw,active_power_kw,reactive_power_mvar,renewable_mw,solar_mw,wind_mw,grid_frequency_hz,voltage_kv,power_factor,thd_pct,dsm_penalty_rate_inr
2026-09-08 07:45:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,2977.19,2871.28,2977185.8,536.68,105.91,37.93,67.98,50.02,396.9,0.984,3.99,0.0
2026-09-08 07:45:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3299.86,3204.36,3299862.8,882.32,95.51,37.93,57.57,50.02,397.8,0.966,5.48,0.0
2026-09-08 07:45:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1482.84,1421.65,1482837.2,381.13,61.19,37.93,23.25,50.02,400.8,0.969,3.57,0.0
2026-09-08 07:45:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1390.73,1298.9,1390729.9,402.68,91.83,37.93,53.9,50.02,402.0,0.961,4.77,0.0
2026-09-08 07:45:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,917.26,820.66,917261.1,215.68,96.6,37.93,58.67,50.02,400.8,0.973,3.22,0.0
2026-09-08 07:45:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,927.1,805.44,927102.8,93.06,121.66,37.93,83.73,50.02,399.6,0.995,2.62,0.0
2026-09-08 07:45:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1706.94,50.0,1706939.9,473.22,1907.46,482.78,1424.68,50.02,398.7,0.964,4.1,0.0
2026-09-08 07:45:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,1861.85,1742.36,1861852.3,527.27,119.49,37.93,81.56,50.02,403.0,0.962,6.63,0.0
2026-09-08 07:45:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1846.48,1777.9,1846479.0,461.21,68.58,37.93,30.64,50.02,402.3,0.97,4.27,0.0
2026-09-08 07:45:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,795.68,716.66,795676.6,223.58,79.02,37.93,41.08,50.02,402.1,0.963,4.1,0.0
2026-09-08 08:00:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,2966.53,2818.93,2966532.2,583.72,147.61,44.67,102.94,50.013,401.9,0.981,3.98,0.0
2026-09-08 08:00:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3333.51,3180.86,3333514.2,1084.38,152.66,44.67,107.99,50.013,396.9,0.951,5.21,0.0
2026-09-08 08:00:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1477.15,1316.8,1477149.9,259.87,160.35,44.67,115.69,50.013,402.7,0.985,3.14,0.0
2026-09-08 08:00:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1391.06,1247.52,1391055.3,343.51,143.54,44.67,98.87,50.013,400.4,0.971,4.88,0.0
2026-09-08 08:00:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,974.06,829.74,974064.8,259.56,144.32,44.67,99.66,50.013,396.7,0.966,3.67,0.0
2026-09-08 08:00:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,905.42,785.18,905418.3,90.88,120.24,44.67,75.57,50.013,398.2,0.995,3.11,0.0
2026-09-08 08:00:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1810.64,50.0,1810640.1,490.96,1953.44,568.49,1384.95,50.013,403.0,0.965,3.94,0.0
2026-09-08 08:00:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,1956.26,1827.16,1956263.2,596.35,129.1,44.67,84.44,50.013,397.8,0.957,6.15,0.0
2026-09-08 08:00:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1828.91,1719.07,1828910.6,475.79,109.84,44.67,65.17,50.013,398.1,0.968,4.59,0.0
2026-09-08 08:00:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,841.62,711.59,841622.8,270.4,130.03,44.67,85.37,50.013,398.1,0.952,4.41,0.0
2026-09-08 08:15:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,2987.48,2803.71,2987479.9,645.79,183.77,52.18,131.59,50.003,399.0,0.977,3.75,0.0
